Metric,Count,Mean,Std Dev,Min,25%,Median,75%,Max,Variance
Citation Rate,235,11.977785652335122,6.8310636674167613,1,7.7213403880070546,11.155257936507937,14.807399242823596,68.5,46.66343082830133
Average FCR,23,4.6293373952962318,1.2111452717932394,0.25958333333333339,4.24851708800581,4.7487420449724169,5.3422434765586377,6.334530271398747,1.4668728693871198
Research Efficiency,3645,0.91895601572012153,4.3681869326420077,0,0.019690825566792254,0.10964681440443214,0.5,190.2,19.081057078504394
Impact-Weighted Research Output,68166,0.0066439052917957476,0.010288225268423505,0,0.0027911115806211854,0.0048228805177057549,0.0080046810742404953,1,0.00010584757917382791
